flight_num,from,to
SG-8709,Delhi,Mumbai
SG-8157,Mumbai,Bangalore
I5-764,Bangalore,Kolkata
UK-995,Kolkata,Hyderabad
UK-963,Hyderabad,Chennai
UK-945,Chennai,Delhi
UK-927,,
UK-951,,
G8-334,,
G8-336,,
G8-392,,
G8-338,,
6E-5001,,
6E-6202,,
6E-549,,
6E-6278,,
AI-887,,
AI-665,,
I5-747,,
G8-266,,
G8-101,,
G8-103,,
AI-441,,
6E-5328,,
UK-933,,
6E-2046,,
I5-744,,
SG-8169,,
6E-5041,,
G8-165,,
6E-2373,,
UK-813,,
UK-817,,
UK-819,,
UK-801,,
UK-815,,
AI-453,,
SG-2976,,
AI-504,,
AI-502,,
AI-506,,
AI-803,,
AI-479,,
SG-339,,
UK-955,,
UK-627,,
I5-784,,
AI-9643,,
AI-540,,
AI-429,,
AI-439,,
AI-9645,,
6E-2193,,
6E-2168,,
6E-152,,
6E-369,,
UK-899,,
AI-764,,
UK-747,,
UK-809,,
UK-737,,
6E-2338,,
G8-237,,
UK-871,,
AI-762,,
G8-1404,,
AI-512,,
AI-537,,
UK-977,,
6E-184,,
SG-3002,,
6E-2102,,
AI-801,,
UK-637,,
UK-835,,
AI-531,,
UK-705,,
UK-707,,
UK-673,,
AI-839,,
UK-879,,
G8-191,,
AI-767,,
AI-401,,
AI-473,,
G8-213,,
AI-409,,
UK-837,,
AI-877,,
SG-8803,,
UK-985,,
UK-953,,
G8-346,,
G8-330,,
G8-323,,
6E-218,,
6E-6722,,
AI-868,,
AI-805,,
AI-624,,
G8-188,,
AI-636,,
6E-2022,,
AI-469,,
AI-542,,
AI-560,,
UK-683,,
AI-403,,
6E-2154,,
AI-9843,,
AI-544,,
6E-282,,
UK-859,,
UK-829,,
AI-9857,,
6E-607,,
AI-885,,
SG-2277,,
G8-719,,
G8-119,,
G8-717,,
UK-706,,
AI-465,,
6E-5018,,
UK-839,,
UK-833,,
AI-406,,
AI-9809,,
G8-286,,
UK-847,,
AI-411,,
G8-113,,
SG-8483,,
AI-475,,
6E-181,,
6E-2092,,
AI-9911,,
6E-5063,,
6E-7403,,
UK-855,,
AI-807,,
G8-300,,
AI-811,,
AI-431,,
SG-1089,,
SG-1061,,
SG-1063,,
6E-2054,,
AI-678,,
G8-1010,,
AI-435,,
AI-499,,
AI-9887,,
AI-483,,
G8-357,,
AI-451,,
AI-471,,
SG-1091,,
UK-981,,
UK-975,,
UK-993,,
UK-943,,
UK-941,,
I5-721,,
I5-773,,
G8-199,,
SG-8339,,
AI-481,,
AI-9939,,
UK-811,,
UK-807,,
AI-9915,,
6E-2137,,
6E-2097,,
6E-926,,
AI-415,,
G8-2401,,
UK-727,,
AI-423,,
AI-865,,
6E-2083,,
AI-485,,
6E-5088,,
I5-740,,
I5-482,,
6E-2901,,
6E-6261,,
6E-2013,,
I5-1529,,
I5-741,,
G8-7533,,
G8-7534,,
G8-7535,,
G8-530,,
G8-354,,
G8-2501,,
6E-171,,
I5-788,,
G8-211,,
G8-7553,,
G8-2509,,
G8-194,,
G8-2609,,
6E-2042,,
G8-713,,
I5-798,,
I5-775,,
G8-7541,,
G8-2403,,
G8-203,,
G8-209,,
AI-837,,
I5-881,,
6E-5329,,
6E-2081,,
6E-573,,
AI-491,,
AI-883,,
AI-9609,,
AI-9015,,
SG-9974,,
AI-9017,,
6E-865,,
I5-735,,
6E-2033,,
6E-6245,,
6E-5042,,
SG-8723,,
SG-8701,,
6E-2519,,
6E-153,,
6E-5026,,
6E-5087,,
6E-736,,
