flight_num,from,to
SG-8709,Delhi,Mumbai
SG-8157,Delhi,Mumbai
I5-764,Delhi,Mumbai
UK-995,Delhi,Mumbai
UK-963,Delhi,Mumbai
UK-945,Delhi,Mumbai
UK-927,Delhi,Mumbai
UK-951,Delhi,Mumbai
G8-334,Delhi,Mumbai
G8-336,Delhi,Mumbai
G8-392,Delhi,Mumbai
G8-338,Delhi,Mumbai
6E-5001,Delhi,Mumbai
6E-6202,Delhi,Mumbai
6E-549,Delhi,Mumbai
6E-6278,Delhi,Mumbai
AI-887,Delhi,Mumbai
AI-665,Delhi,Mumbai
I5-747,Delhi,Mumbai
G8-266,Delhi,Mumbai
G8-101,Delhi,Mumbai
G8-103,Delhi,Mumbai
AI-441,Delhi,Mumbai
6E-5328,Delhi,Mumbai
UK-933,Delhi,Mumbai
6E-2046,Delhi,Mumbai
I5-744,Delhi,Mumbai
SG-8169,Delhi,Mumbai
6E-5041,Delhi,Mumbai
G8-165,Delhi,Mumbai
6E-2373,Delhi,Mumbai
UK-813,Delhi,Mumbai
UK-817,Delhi,Mumbai
UK-819,Delhi,Mumbai
UK-801,Delhi,Mumbai
UK-815,Delhi,Mumbai
AI-453,Delhi,Mumbai
SG-2976,Delhi,Mumbai
AI-504,Delhi,Mumbai
AI-502,Delhi,Mumbai
AI-506,Delhi,Mumbai
AI-803,Delhi,Mumbai
AI-479,Delhi,Mumbai
SG-339,Delhi,Mumbai
UK-955,Delhi,Mumbai
UK-627,Delhi,Mumbai
I5-784,Delhi,Mumbai
AI-9643,Delhi,Mumbai
AI-540,Delhi,Mumbai
AI-429,Delhi,Mumbai
AI-439,Delhi,Mumbai
AI-9645,Delhi,Mumbai
6E-2193,Delhi,Mumbai
6E-2168,Delhi,Mumbai
6E-152,Delhi,Mumbai
6E-369,Delhi,Mumbai
UK-899,Delhi,Mumbai
AI-764,Delhi,Mumbai
UK-747,Delhi,Mumbai
UK-809,Delhi,Mumbai
UK-737,Delhi,Mumbai
6E-2338,Delhi,Mumbai
G8-237,Delhi,Mumbai
UK-871,Delhi,Mumbai
AI-762,Delhi,Mumbai
G8-1404,Delhi,Mumbai
AI-512,Delhi,Mumbai
AI-537,Delhi,Mumbai
UK-977,Delhi,Mumbai
6E-184,Delhi,Mumbai
SG-3002,Delhi,Mumbai
6E-2102,Delhi,Mumbai
AI-801,Delhi,Mumbai
UK-637,Delhi,Mumbai
UK-835,Delhi,Mumbai
AI-531,Delhi,Mumbai
UK-705,Delhi,Mumbai
UK-707,Delhi,Mumbai
UK-673,Delhi,Mumbai
AI-839,Delhi,Mumbai
UK-879,Delhi,Mumbai
G8-191,Delhi,Mumbai
AI-767,Delhi,Mumbai
AI-401,Delhi,Mumbai
AI-473,Delhi,Mumbai
G8-213,Delhi,Mumbai
AI-409,Delhi,Mumbai
UK-837,Delhi,Mumbai
AI-877,Delhi,Mumbai
SG-8803,Delhi,Mumbai
UK-985,Delhi,Mumbai
UK-953,Delhi,Mumbai
G8-346,Delhi,Mumbai
G8-330,Delhi,Mumbai
G8-323,Delhi,Mumbai
6E-218,Delhi,Mumbai
6E-6722,Delhi,Mumbai
AI-868,Delhi,Mumbai
AI-805,Delhi,Mumbai
AI-624,Delhi,Mumbai
G8-188,Delhi,Mumbai
AI-636,Delhi,Mumbai
6E-2022,Delhi,Mumbai
AI-469,Delhi,Mumbai
AI-542,Delhi,Mumbai
AI-560,Delhi,Mumbai
UK-683,Delhi,Mumbai
AI-403,Delhi,Mumbai
6E-2154,Delhi,Mumbai
AI-9843,Delhi,Mumbai
AI-544,Delhi,Mumbai
6E-282,Delhi,Mumbai
UK-859,Delhi,Mumbai
UK-829,Delhi,Mumbai
AI-9857,Delhi,Mumbai
6E-607,Delhi,Mumbai
AI-885,Delhi,Mumbai
SG-2277,Delhi,Mumbai
G8-719,Delhi,Mumbai
G8-119,Delhi,Mumbai
G8-717,Delhi,Mumbai
UK-706,Delhi,Mumbai
AI-465,Delhi,Mumbai
6E-5018,Delhi,Mumbai
UK-839,Delhi,Mumbai
UK-833,Delhi,Mumbai
AI-406,Delhi,Mumbai
AI-9809,Delhi,Mumbai
G8-286,Delhi,Mumbai
UK-847,Delhi,Mumbai
AI-411,Delhi,Mumbai
G8-113,Delhi,Mumbai
SG-8483,Delhi,Mumbai
AI-475,Delhi,Mumbai
6E-181,Delhi,Mumbai
6E-2092,Delhi,Mumbai
AI-9911,Delhi,Mumbai
6E-5063,Delhi,Mumbai
6E-7403,Delhi,Mumbai
UK-855,Delhi,Mumbai
AI-807,Delhi,Mumbai
G8-300,Delhi,Mumbai
AI-811,Delhi,Mumbai
AI-431,Delhi,Mumbai
SG-1089,Delhi,Mumbai
SG-1061,Delhi,Mumbai
SG-1063,Delhi,Mumbai
6E-2054,Delhi,Mumbai
AI-678,Delhi,Mumbai
G8-1010,Delhi,Mumbai
AI-435,Delhi,Mumbai
AI-499,Delhi,Mumbai
AI-9887,Delhi,Mumbai
AI-483,Delhi,Mumbai
G8-357,Delhi,Mumbai
AI-451,Delhi,Mumbai
AI-471,Delhi,Mumbai
SG-1091,Delhi,Mumbai
UK-981,Delhi,Mumbai
UK-975,Delhi,Mumbai
UK-993,Delhi,Mumbai
UK-943,Delhi,Mumbai
UK-941,Delhi,Mumbai
I5-721,Delhi,Mumbai
I5-773,Delhi,Mumbai
G8-199,Delhi,Mumbai
SG-8339,Delhi,Mumbai
AI-481,Delhi,Mumbai
AI-9939,Delhi,Mumbai
UK-811,Delhi,Mumbai
UK-807,Delhi,Mumbai
AI-9915,Delhi,Mumbai
6E-2137,Delhi,Mumbai
6E-2097,Delhi,Mumbai
6E-926,Delhi,Mumbai
AI-415,Delhi,Mumbai
G8-2401,Delhi,Mumbai
UK-727,Delhi,Mumbai
AI-423,Delhi,Mumbai
AI-865,Delhi,Mumbai
6E-2083,Delhi,Mumbai
AI-485,Delhi,Mumbai
6E-5088,Delhi,Mumbai
I5-740,Delhi,Mumbai
I5-482,Delhi,Mumbai
6E-2901,Delhi,Mumbai
6E-6261,Delhi,Mumbai
6E-2013,Delhi,Mumbai
I5-1529,Delhi,Mumbai
I5-741,Delhi,Mumbai
G8-7533,Delhi,Mumbai
G8-7534,Delhi,Mumbai
G8-7535,Delhi,Mumbai
G8-530,Delhi,Mumbai
G8-354,Delhi,Mumbai
G8-2501,Delhi,Mumbai
