Date_of_journey,Journey_day,Airline,Flight_code,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Days_left,Fare
2023-01-16,Monday,SpiceJet,SG-8169,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.0833,1.0,5335.0
2023-01-16,Monday,Indigo,6E-2519,Economy,Delhi,After 6 PM,non-stop,Before 6 AM,Mumbai,2.3333,1.0,5899.0
2023-01-16,Monday,GO FIRST,G8-354,Economy,Delhi,After 6 PM,non-stop,Before 6 AM,Mumbai,2.1667,1.0,5801.0
2023-01-16,Monday,SpiceJet,SG-8709,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.0833,1.0,5794.0
2023-01-16,Monday,Air India,AI-805,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.1667,1.0,5955.0
2023-01-16,Monday,Air India,AI-605,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,5955.0
2023-01-16,Monday,Air India,AI-814,Economy,Delhi,After 6 PM,non-stop,Before 6 AM,Mumbai,2.25,1.0,5955.0
2023-01-16,Monday,GO FIRST,G8-330,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,5899.0
2023-01-16,Monday,SpiceJet,SG-2976,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,14.3333,1.0,5829.0
2023-01-16,Monday,GO FIRST,G8-346,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.0833,1.0,5899.0
2023-01-16,Monday,AirAsia,I5-743,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Mumbai,14.6667,1.0,6640.0
2023-01-16,Monday,Indigo,6E-2208,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,8.6667,1.0,6390.0
2023-01-16,Monday,AirAsia,I5-857,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,5.5833,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-773,Economy,Delhi,After 6 PM,1-stop,Before 6 AM,Mumbai,6.3333,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-784,Economy,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Mumbai,8.1667,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-1228,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,9.5,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-740,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,10.8333,1.0,6872.0
2023-01-16,Monday,AirAsia,I5-798,Economy,Delhi,12 PM - 6 PM,1-stop,Before 6 AM,Mumbai,13.5833,1.0,6872.0
2023-01-16,Monday,Indigo,6E-2017,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.1667,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2176,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-864,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2084,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2114,Economy,Delhi,After 6 PM,non-stop,Before 6 AM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2138,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.3333,1.0,7319.0
2023-01-16,Monday,Vistara,UK-985,Economy,Delhi,After 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7320.0
2023-01-16,Monday,GO FIRST,G8-336,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.1667,1.0,7321.0
2023-01-16,Monday,GO FIRST,G8-184,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,7.5,1.0,6873.0
2023-01-16,Monday,GO FIRST,G8-143,Economy,Delhi,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,9.0833,1.0,6873.0
2023-01-16,Monday,GO FIRST,G8-237,Economy,Delhi,12 PM - 6 PM,1-stop,After 6 PM,Mumbai,9.75,1.0,6873.0
2023-01-16,Monday,GO FIRST,G8-2519,Economy,Delhi,After 6 PM,1-stop,6 AM - 12 PM,Mumbai,14.1667,1.0,6873.0
2023-01-16,Monday,GO FIRST,G8-113,Economy,Delhi,Before 6 AM,1-stop,After 6 PM,Mumbai,14.8333,1.0,6873.0
2023-01-16,Monday,Air India,AI-813,Economy,Delhi,6 AM - 12 PM,1-stop,After 6 PM,Mumbai,13.5,1.0,7194.0
2023-01-16,Monday,Indigo,6E-2716,Economy,Delhi,Before 6 AM,non-stop,Before 6 AM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-5318,Economy,Delhi,12 PM - 6 PM,non-stop,After 6 PM,Mumbai,2.25,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2505,Economy,Delhi,6 AM - 12 PM,non-stop,12 PM - 6 PM,Mumbai,2.3333,1.0,7319.0
2023-01-16,Monday,Indigo,6E-2112,Economy,Delhi,Before 6 AM,non-stop,6 AM - 12 PM,Mumbai,2.5,1.0,7319.0
2023-01-16,Monday,Air India,AI-863,Economy,Delhi,12 PM - 6 PM,non-stop,12 PM - 6 PM,Mumbai,2.3333,1.0,7320.0
